,table,no,effectiveDate,currency,code,mid
0,A,231/A/NBP/2022,2022-11-30,bat (Tajlandia),THB,0.1278
1,A,231/A/NBP/2022,2022-11-30,dolar amerykański,USD,4.5066
2,A,231/A/NBP/2022,2022-11-30,dolar australijski,AUD,3.0307
3,A,231/A/NBP/2022,2022-11-30,dolar Hongkongu,HKD,0.5779
4,A,231/A/NBP/2022,2022-11-30,dolar kanadyjski,CAD,3.3309
5,A,231/A/NBP/2022,2022-11-30,dolar nowozelandzki,NZD,2.8114
6,A,231/A/NBP/2022,2022-11-30,dolar singapurski,SGD,3.2955
7,A,231/A/NBP/2022,2022-11-30,euro,EUR,4.6684
8,A,231/A/NBP/2022,2022-11-30,forint (Węgry),HUF,0.011449
9,A,231/A/NBP/2022,2022-11-30,frank szwajcarski,CHF,4.7421
10,A,231/A/NBP/2022,2022-11-30,funt szterling,GBP,5.4151
11,A,231/A/NBP/2022,2022-11-30,hrywna (Ukraina),UAH,0.1258
12,A,231/A/NBP/2022,2022-11-30,jen (Japonia),JPY,0.032466
13,A,231/A/NBP/2022,2022-11-30,korona czeska,CZK,0.1916
14,A,231/A/NBP/2022,2022-11-30,korona duńska,DKK,0.6277
15,A,231/A/NBP/2022,2022-11-30,korona islandzka,ISK,0.031736
16,A,231/A/NBP/2022,2022-11-30,korona norweska,NOK,0.454
17,A,231/A/NBP/2022,2022-11-30,korona szwedzka,SEK,0.4272
18,A,231/A/NBP/2022,2022-11-30,kuna (Chorwacja),HRK,0.6184
19,A,231/A/NBP/2022,2022-11-30,lej rumuński,RON,0.9479
20,A,231/A/NBP/2022,2022-11-30,lew (Bułgaria),BGN,2.3869
21,A,231/A/NBP/2022,2022-11-30,lira turecka,TRY,0.2418
22,A,231/A/NBP/2022,2022-11-30,nowy izraelski szekel,ILS,1.3114
23,A,231/A/NBP/2022,2022-11-30,peso chilijskie,CLP,0.005001
24,A,231/A/NBP/2022,2022-11-30,peso filipińskie,PHP,0.0797
25,A,231/A/NBP/2022,2022-11-30,peso meksykańskie,MXN,0.2344
26,A,231/A/NBP/2022,2022-11-30,rand (Republika Południowej Afryki),ZAR,0.266
27,A,231/A/NBP/2022,2022-11-30,real (Brazylia),BRL,0.8551
28,A,231/A/NBP/2022,2022-11-30,ringgit (Malezja),MYR,1.0133
29,A,231/A/NBP/2022,2022-11-30,rupia indonezyjska,IDR,0.00028647
30,A,231/A/NBP/2022,2022-11-30,rupia indyjska,INR,0.055339
31,A,231/A/NBP/2022,2022-11-30,won południowokoreański,KRW,0.003427
32,A,231/A/NBP/2022,2022-11-30,yuan renminbi (Chiny),CNY,0.6351
33,A,231/A/NBP/2022,2022-11-30,SDR (MFW),XDR,5.9188
0,B,048/B/NBP/2022,2022-11-30,afgani (Afganistan),AFN,0.050971
1,B,048/B/NBP/2022,2022-11-30,ariary (Madagaskar),MGA,0.001032
2,B,048/B/NBP/2022,2022-11-30,balboa (Panama),PAB,4.5066
3,B,048/B/NBP/2022,2022-11-30,birr etiopski,ETB,0.0842
4,B,048/B/NBP/2022,2022-11-30,boliwar soberano (Wenezuela),VES,0.4115
5,B,048/B/NBP/2022,2022-11-30,boliwiano (Boliwia),BOB,0.6501
6,B,048/B/NBP/2022,2022-11-30,colon kostarykański,CRC,0.007544
7,B,048/B/NBP/2022,2022-11-30,colon salwadorski,SVC,0.5143
8,B,048/B/NBP/2022,2022-11-30,cordoba oro (Nikaragua),NIO,0.1233
9,B,048/B/NBP/2022,2022-11-30,dalasi (Gambia),GMD,0.071
10,B,048/B/NBP/2022,2022-11-30,denar (Macedonia Północna),MKD,0.075767
11,B,048/B/NBP/2022,2022-11-30,dinar algierski,DZD,0.032478
12,B,048/B/NBP/2022,2022-11-30,dinar bahrajski,BHD,11.9427
13,B,048/B/NBP/2022,2022-11-30,dinar iracki,IQD,0.003085
14,B,048/B/NBP/2022,2022-11-30,dinar jordański,JOD,6.3481
15,B,048/B/NBP/2022,2022-11-30,dinar kuwejcki,KWD,14.6299
16,B,048/B/NBP/2022,2022-11-30,dinar libijski,LYD,0.9205
17,B,048/B/NBP/2022,2022-11-30,dinar serbski,RSD,0.0398
18,B,048/B/NBP/2022,2022-11-30,dinar tunezyjski,TND,1.3828
19,B,048/B/NBP/2022,2022-11-30,dirham marokański,MAD,0.4209
20,B,048/B/NBP/2022,2022-11-30,dirham ZEA (Zjednoczone Emiraty Arabskie),AED,1.2257
21,B,048/B/NBP/2022,2022-11-30,dobra (Wyspy Świętego Tomasza i Książęca),STN,0.1886
22,B,048/B/NBP/2022,2022-11-30,dolar bahamski,BSD,4.5066
23,B,048/B/NBP/2022,2022-11-30,dolar barbadoski,BBD,2.2298
24,B,048/B/NBP/2022,2022-11-30,dolar belizeński,BZD,2.2336
25,B,048/B/NBP/2022,2022-11-30,dolar brunejski,BND,3.2898
26,B,048/B/NBP/2022,2022-11-30,dolar Fidżi,FJD,2.0289
27,B,048/B/NBP/2022,2022-11-30,dolar gujański,GYD,0.02152
28,B,048/B/NBP/2022,2022-11-30,dolar jamajski,JMD,0.0292
29,B,048/B/NBP/2022,2022-11-30,dolar liberyjski,LRD,0.0292
30,B,048/B/NBP/2022,2022-11-30,dolar namibijski,NAD,0.2658
31,B,048/B/NBP/2022,2022-11-30,dolar surinamski,SRD,0.1454
32,B,048/B/NBP/2022,2022-11-30,dolar Trynidadu i Tobago,TTD,0.6644
33,B,048/B/NBP/2022,2022-11-30,dolar wschodniokaraibski,XCD,1.6614
34,B,048/B/NBP/2022,2022-11-30,dolar Wysp Salomona,SBD,0.5463
35,B,048/B/NBP/2022,2022-11-30,dolar Zimbabwe,ZWL,0.0069
36,B,048/B/NBP/2022,2022-11-30,dong (Wietnam),VND,0.00018265
37,B,048/B/NBP/2022,2022-11-30,dram (Armenia),AMD,0.011384
38,B,048/B/NBP/2022,2022-11-30,escudo Zielonego Przylądka,CVE,0.0421
39,B,048/B/NBP/2022,2022-11-30,florin arubański,AWG,2.4878
40,B,048/B/NBP/2022,2022-11-30,frank burundyjski,BIF,0.002175
41,B,048/B/NBP/2022,2022-11-30,frank CFA BCEAO ,XOF,0.007113
42,B,048/B/NBP/2022,2022-11-30,frank CFA BEAC,XAF,0.007016
43,B,048/B/NBP/2022,2022-11-30,frank CFP  ,XPF,0.03912
44,B,048/B/NBP/2022,2022-11-30,frank Dżibuti,DJF,0.02529
45,B,048/B/NBP/2022,2022-11-30,frank gwinejski,GNF,0.000522
46,B,048/B/NBP/2022,2022-11-30,frank Komorów,KMF,0.009441
47,B,048/B/NBP/2022,2022-11-30,frank kongijski (Dem. Republika Konga),CDF,0.002191
48,B,048/B/NBP/2022,2022-11-30,frank rwandyjski,RWF,0.004162
49,B,048/B/NBP/2022,2022-11-30,funt egipski,EGP,0.183
50,B,048/B/NBP/2022,2022-11-30,funt gibraltarski,GIP,5.4151
51,B,048/B/NBP/2022,2022-11-30,funt libański,LBP,0.002978
52,B,048/B/NBP/2022,2022-11-30,funt południowosudański,SSP,0.007002
53,B,048/B/NBP/2022,2022-11-30,funt sudański,SDG,0.0079
54,B,048/B/NBP/2022,2022-11-30,funt syryjski,SYP,0.0018
55,B,048/B/NBP/2022,2022-11-30,Ghana cedi ,GHS,0.3148
56,B,048/B/NBP/2022,2022-11-30,gourde (Haiti),HTG,0.032
57,B,048/B/NBP/2022,2022-11-30,guarani (Paragwaj),PYG,0.000623
58,B,048/B/NBP/2022,2022-11-30,gulden Antyli Holenderskich,ANG,2.4981
59,B,048/B/NBP/2022,2022-11-30,kina (Papua-Nowa Gwinea),PGK,1.2778
60,B,048/B/NBP/2022,2022-11-30,kip (Laos),LAK,0.00026
61,B,048/B/NBP/2022,2022-11-30,kwacha malawijska,MWK,0.004387
62,B,048/B/NBP/2022,2022-11-30,kwacha zambijska,ZMW,0.2644
63,B,048/B/NBP/2022,2022-11-30,kwanza (Angola),AOA,0.0088
64,B,048/B/NBP/2022,2022-11-30,"kyat (Myanmar, Birma)",MMK,0.002144
65,B,048/B/NBP/2022,2022-11-30,lari (Gruzja),GEL,1.6583
66,B,048/B/NBP/2022,2022-11-30,lej Mołdawii,MDL,0.2327
67,B,048/B/NBP/2022,2022-11-30,lek (Albania),ALL,0.03994
68,B,048/B/NBP/2022,2022-11-30,lempira (Honduras),HNL,0.1823
69,B,048/B/NBP/2022,2022-11-30,leone (Sierra Leone),SLE,0.2417
70,B,048/B/NBP/2022,2022-11-30,lilangeni (Eswatini),SZL,0.2658
71,B,048/B/NBP/2022,2022-11-30,loti (Lesotho),LSL,0.2658
72,B,048/B/NBP/2022,2022-11-30,manat azerbejdżański,AZN,2.6476
73,B,048/B/NBP/2022,2022-11-30,metical (Mozambik),MZN,0.0702
74,B,048/B/NBP/2022,2022-11-30,naira (Nigeria),NGN,0.010142
75,B,048/B/NBP/2022,2022-11-30,nakfa (Erytrea),ERN,0.2987
76,B,048/B/NBP/2022,2022-11-30,nowy dolar tajwański,TWD,0.1461
77,B,048/B/NBP/2022,2022-11-30,nowy manat (Turkmenistan),TMT,1.2878
78,B,048/B/NBP/2022,2022-11-30,ouguiya (Mauretania),MRU,0.1184
79,B,048/B/NBP/2022,2022-11-30,pa'anga (Tonga),TOP,1.89
80,B,048/B/NBP/2022,2022-11-30,pataca (Makau),MOP,0.56
81,B,048/B/NBP/2022,2022-11-30,peso argentyńskie,ARS,0.027
82,B,048/B/NBP/2022,2022-11-30,peso dominikańskie,DOP,0.0825
83,B,048/B/NBP/2022,2022-11-30,peso kolumbijskie,COP,0.000936
84,B,048/B/NBP/2022,2022-11-30,peso kubańskie,CUP,4.5066
85,B,048/B/NBP/2022,2022-11-30,peso urugwajskie,UYU,0.1139
86,B,048/B/NBP/2022,2022-11-30,pula (Botswana),BWP,0.3507
87,B,048/B/NBP/2022,2022-11-30,quetzal (Gwatemala),GTQ,0.5754
88,B,048/B/NBP/2022,2022-11-30,rial irański,IRR,0.000107
89,B,048/B/NBP/2022,2022-11-30,rial jemeński,YER,0.017993
90,B,048/B/NBP/2022,2022-11-30,rial katarski,QAR,1.2321
91,B,048/B/NBP/2022,2022-11-30,rial omański,OMR,11.7094
92,B,048/B/NBP/2022,2022-11-30,rial saudyjski,SAR,1.1974
93,B,048/B/NBP/2022,2022-11-30,riel (Kambodża),KHR,0.001091
94,B,048/B/NBP/2022,2022-11-30,rubel białoruski,BYN,1.2955
95,B,048/B/NBP/2022,2022-11-30,rubel rosyjski,RUB,0.0736
96,B,048/B/NBP/2022,2022-11-30,rupia lankijska,LKR,0.012318
97,B,048/B/NBP/2022,2022-11-30,rupia (Malediwy),MVR,0.2912
98,B,048/B/NBP/2022,2022-11-30,rupia Mauritiusu,MUR,0.1031
99,B,048/B/NBP/2022,2022-11-30,rupia nepalska,NPR,0.034545
100,B,048/B/NBP/2022,2022-11-30,rupia pakistańska,PKR,0.0201
101,B,048/B/NBP/2022,2022-11-30,rupia seszelska,SCR,0.3454
102,B,048/B/NBP/2022,2022-11-30,sol (Peru),PEN,1.1706
103,B,048/B/NBP/2022,2022-11-30,som (Kirgistan),KGS,0.0533
104,B,048/B/NBP/2022,2022-11-30,somoni (Tadżykistan),TJS,0.448
105,B,048/B/NBP/2022,2022-11-30,sum (Uzbekistan),UZS,0.000402
106,B,048/B/NBP/2022,2022-11-30,szyling kenijski,KES,0.036739
107,B,048/B/NBP/2022,2022-11-30,szyling somalijski,SOS,0.00792
108,B,048/B/NBP/2022,2022-11-30,szyling tanzański,TZS,0.001929
109,B,048/B/NBP/2022,2022-11-30,szyling ugandyjski,UGX,0.001201
110,B,048/B/NBP/2022,2022-11-30,taka (Bangladesz),BDT,0.044292
111,B,048/B/NBP/2022,2022-11-30,tala (Samoa),WST,1.6496
112,B,048/B/NBP/2022,2022-11-30,tenge (Kazachstan),KZT,0.009576
113,B,048/B/NBP/2022,2022-11-30,tugrik (Mongolia),MNT,0.001315
114,B,048/B/NBP/2022,2022-11-30,vatu (Vanuatu),VUV,0.037071
115,B,048/B/NBP/2022,2022-11-30,wymienialna marka (Bośnia i Hercegowina),BAM,2.3809
